TechnicienID, DateDebut, DateFin, Actions
1, 2022-02-15, 2022-02-20, Hardware Upgrade
3, 2022-03-10, 2022-03-15, Software Update
2, 2022-04-05, 2022-04-10, Virus Removal
2, 2022-04-20, 2022-04-25, Software Update
3, 2022-05-05, 2022-05-10, Virus Removal
4, 2022-05-20, 2022-05-25, Network Configuration
5, 2022-06-01, 2022-06-05, Hardware Upgrade
6, 2022-06-15, 2022-06-20, Software Update
7, 2022-07-01, 2022-07-05, Virus Removal
8, 2022-07-10, 2022-07-15, Network Configuration
9, 2022-07-20, 2022-07-25, Hardware Upgrade
10, 2022-08-01, 2022-08-05, Software Update
11, 2022-08-10, 2022-08-15, Virus Removal
12, 2022-08-20, 2022-08-25, Network Configuration
13, 2022-09-01, 2022-09-05, Hardware Upgrade
14, 2022-09-10, 2022-09-15, Software Update
15, 2022-09-20, 2022-09-25, Virus Removal
1, 2022-10-01, 2022-10-05, Network Configuration
2, 2022-10-10, 2022-10-15, Hardware Upgrade
3, 2022-10-20, 2022-10-25, Software Update
4, 2022-11-01, 2022-11-05, Virus Removal
5, 2022-11-10, 2022-11-15, Network Configuration
6, 2022-11-20, 2022-11-25, Hardware Upgrade
7, 2022-12-01, 2022-12-05, Software Update
8, 2022-12-10, 2022-12-15, Virus Removal
9, 2022-12-20, 2022-12-25, Network Configuration
10, 2023-01-01, 2023-01-05, Hardware Upgrade
11, 2023-01-10, 2023-01-15, Software Update
12, 2023-01-20, 2023-01-25, Virus Removal
13, 2023-02-01, 2023-02-05, Network Configuration
14, 2023-02-10, 2023-02-15, Hardware Upgrade
15, 2023-02-20, 2023-02-25, Software Update
1, 2023-03-01, 2023-03-05, Virus Removal
2, 2023-03-10, 2023-03-15, Network Configuration
3, 2023-03-20, 2023-03-25, Hardware Upgrade
4, 2023-04-01, 2023-04-05, Software Update
5, 2023-04-10, 2023-04-15, Virus Removal
6, 2023-04-20, 2023-04-25, Network Configuration
7, 2023-05-01, 2023-05-05, Hardware Upgrade
8, 2023-05-10, 2023-05-15, Software Update
9, 2023-05-20, 2023-05-25, Virus Removal
10, 2023-06-01, 2023-06-05, Network Configuration
11, 2023-06-10, 2023-06-15, Hardware Upgrade
12, 2023-06-20, 2023-06-25, Software Update
13, 2023-07-01, 2023-07-05, Virus Removal
14, 2023-07-10, 2023-07-15, Network Configuration
15, 2023-07-20, 2023-07-25, Hardware Upgrade
1, 2023-08-01, 2023-08-05, Software Update
2, 2023-08-10, 2023-08-15, Virus Removal
3, 2023-08-20, 2023-08-25, Network Configuration
